"","loc","year","winter","week","month","n_ovi","n_pos.ovi","prop.ovi.posi","iso_week_string","fake_date","tid","tas","tp","date","tas_lag1","tas_lag2","tas_lag3","tp_lag1","tp_lag2","tp_lag3","winter_week","year_fac","year_numeric","year_centered","period"
"1","Bologna",2012,"2012-2013",49,12,20,0,0,"2012-W49-1",2012-12-03,"Bologna_2012_49",1.34494508743286,36.6332965087891,2012-12-06,6.43547719955444,7.91701181411743,10.2537577056885,8.92683347702026,12.4817399978638,0.0673897656798363,7,"2012",2012,-6.35617808904453,"Autumn"
"2","Bologna",2012,"2012-2013",51,12,20,0,0,"2012-W51-1",2012-12-17,"Bologna_2012_51",-0.451982410978526,14.4801421356201,2012-12-20,1.34494508743286,6.43547719955444,7.91701181411743,36.6332965087891,8.92683347702026,12.4817399978638,9,"2012",2012,-6.35617808904453,"Autumn"
"3","Bologna",2013,"2012-2013",1,1,20,0,0,"2013-W01-1",2012-12-31,"Bologna_2013_1",-0.0424963422119617,9.08169607162476,2013-01-03,-0.451982410978526,1.34494508743286,6.43547719955444,14.4801421356201,36.6332965087891,8.92683347702026,12,"2013",2013,-5.35617808904453,"Spring"
"4","Bologna",2013,"2012-2013",3,1,20,0,0,"2013-W03-1",2013-01-14,"Bologna_2013_3",0.709498309493065,59.5887814331055,2013-01-17,-0.0424963422119617,-0.451982410978526,1.34494508743286,9.08169607162476,14.4801421356201,36.6332965087891,14,"2013",2013,-5.35617808904453,"Spring"
"5","Bologna",2013,"2012-2013",5,1,19,0,0,"2013-W05-1",2013-01-28,"Bologna_2013_5",-0.570858144760132,7.55597625732422,2013-01-31,0.709498309493065,-0.0424963422119617,-0.451982410978526,59.5887814331055,9.08169607162476,14.4801421356201,16,"2013",2013,-5.35617808904453,"Spring"
"6","Bologna",2013,"2012-2013",7,2,20,0,0,"2013-W07-1",2013-02-11,"Bologna_2013_7",-2.88267709732056,32.3642170715332,2013-02-14,-0.570858144760132,0.709498309493065,-0.0424963422119617,7.55597625732422,59.5887814331055,9.08169607162476,18,"2013",2013,-5.35617808904453,"Spring"
"7","Bologna",2013,"2012-2013",9,2,20,0,0,"2013-W09-1",2013-02-25,"Bologna_2013_9",-2.82039069652557,30.9437910461426,2013-02-28,-2.88267709732056,-0.570858144760132,0.709498309493065,32.3642170715332,7.55597625732422,59.5887814331055,20,"2013",2013,-5.35617808904453,"Spring"
"8","Bologna",2013,"2012-2013",10,3,20,0,0,"2013-W10-1",2013-03-04,"Bologna_2013_10",1.61962157249451,29.0352845001221,2013-03-07,-2.82039069652557,-2.88267709732056,-0.570858144760132,30.9437910461426,32.3642170715332,7.55597625732422,21,"2013",2013,-5.35617808904453,"Spring"
"9","Bologna",2013,"2012-2013",13,3,20,0,0,"2013-W13-1",2013-03-25,"Bologna_2013_13",1.94624142169952,29.7378775024414,2013-03-28,1.61962157249451,-2.82039069652557,-2.88267709732056,29.0352845001221,30.9437910461426,32.3642170715332,24,"2013",2013,-5.35617808904453,"Spring"
"10","Bologna",2013,"2012-2013",15,4,20,0,0,"2013-W15-1",2013-04-08,"Bologna_2013_15",5.10984975814819,29.516212310791,2013-04-11,1.94624142169952,1.61962157249451,-2.82039069652557,29.7378775024414,29.0352845001221,30.9437910461426,26,"2013",2013,-5.35617808904453,"Spring"
"11","Bologna",2013,"2012-2013",17,4,20,0,0,"2013-W17-1",2013-04-22,"Bologna_2013_17",8.75654691696167,29.7323195648193,2013-04-25,5.10984975814819,1.94624142169952,1.61962157249451,29.516212310791,29.7378775024414,29.0352845001221,28,"2013",2013,-5.35617808904453,"Spring"
"12","Bologna",2013,"2012-2013",19,5,20,0,0,"2013-W19-1",2013-05-06,"Bologna_2013_19",12.5399686431885,46.7584567260742,2013-05-09,8.75654691696167,5.10984975814819,1.94624142169952,29.7323195648193,29.516212310791,29.7378775024414,30,"2013",2013,-5.35617808904453,"Spring"
"13","Bologna",2013,"2012-2013",21,5,20,8,0.4,"2013-W21-1",2013-05-20,"Bologna_2013_21",9.85820350646973,8.72142869949341,2013-05-23,12.5399686431885,8.75654691696167,5.10984975814819,46.7584567260742,29.7323195648193,29.516212310791,32,"2013",2013,-5.35617808904453,"Spring"
"14","Bologna",2013,"2013-2014",43,10,19,15,0.789473684210526,"2013-W43-1",2013-10-21,"Bologna_2013_43",12.8916641998291,9.97690769195557,2013-10-24,9.85820350646973,12.5399686431885,8.75654691696167,8.72142869949341,46.7584567260742,29.7323195648193,1,"2013",2013,-5.35617808904453,"Autumn"
"15","Bologna",2013,"2013-2014",44,11,19,16,0.842105263157895,"2013-W44-1",2013-10-28,"Bologna_2013_44",13.5249393463135,6.45184978485107,2013-10-31,12.8916641998291,9.85820350646973,12.5399686431885,9.97690769195557,8.72142869949341,46.7584567260742,2,"2013",2013,-5.35617808904453,"Autumn"
"16","Bologna",2013,"2013-2014",47,11,20,11,0.55,"2013-W47-1",2013-11-18,"Bologna_2013_47",7.96798603057861,40.0157391357422,2013-11-21,13.5249393463135,12.8916641998291,9.85820350646973,6.45184978485107,9.97690769195557,8.72142869949341,5,"2013",2013,-5.35617808904453,"Autumn"
"17","Bologna",2013,"2013-2014",49,12,20,1,0.05,"2013-W49-1",2013-12-02,"Bologna_2013_49",-0.70024534702301,1.23054622411728,2013-12-05,7.96798603057861,13.5249393463135,12.8916641998291,40.0157391357422,6.45184978485107,9.97690769195557,7,"2013",2013,-5.35617808904453,"Autumn"
"18","Bologna",2013,"2013-2014",50,12,20,0,0,"2013-W50-1",2013-12-09,"Bologna_2013_50",-0.696328107118607,0.054852827116847,2013-12-12,-0.70024534702301,7.96798603057861,13.5249393463135,1.23054622411728,40.0157391357422,6.45184978485107,8,"2013",2013,-5.35617808904453,"Autumn"
"19","Bologna",2014,"2013-2014",1,1,20,0,0,"2014-W01-1",2013-12-30,"Bologna_2014_1",1.94874019622803,4.13401731491089,2014-01-02,-0.696328107118607,-0.70024534702301,7.96798603057861,0.054852827116847,1.23054622411728,40.0157391357422,12,"2014",2014,-4.35617808904453,"Spring"
